;source_domain;kurz;match;match_long
38;de.academic.ru;Achherrje;bkürzung herrje! („Herr J;" ein alltäglicher Erstaunens- oder Schreckensruf geworden. Beispiele sind:
die Abkürzung herrje! („Herr Jesus“)
o jemine bzw. oje (Kurzform des lateinischen o Iesu Domine, „oh Herr Jesu"
125;literaturkalender-koeln.de;AchWasMussMan;" | 2019
“Ach was muss man oft von bösen …”
Das ke";"enpresse vor. Kurzvorträge halten Maia Traine und Adrian Kasnitz.
12Oktober | Sa | 2019
“Ach was muss man oft von bösen …”
Das kennt jeder – auch wie es weitergeht. Aber hinter den beiden bekannten Bösewichten"
126;p-t-m.eu;AchWasMussMan;"Auszug:
„Ach, was muss man oft von bösen
Kindern h";"t von dieser pessimistischen Grundstimmung jedoch wenig herauszuhören. Hier ein Auszug:
„Ach, was muss man oft von bösen
Kindern hören oder lesen!
Wie zum Beispiel hier von diesen,
welche Max und Moritz hießen."
128;karin-strenz.de;AchWasMussMan;"Parchim
„Ach was muss man oft von bösen Kindern h";"klenburg
27. Febru
11. Februar 2015 ►Max und Moritz - Premiere im Kindertheater Parchim
„Ach was muss man oft von bösen Kindern hören oder lesen! Wie zum Beispiel hier von diesen, welche Max und Moritz hießen“"
129;www.planet-wissen.de;AchWasMussMan;"chthin.
""Ach, was muss man oft von bösen Kindern h";"igefinger als veraltet gilt, ist der Struwwelpeter der Kinderbuchklassiker schlechthin.
""Ach, was muss man oft von bösen Kindern hören oder lesen…"" So leitet Wilhelm Busch sein 1865 erschienenes Spitzbubentheat"
131;www.100prozenthof.de;AchWasMussMan;"h
Hof - ""Ach, was muss man oft von bösen Kindern h";"berölsbacher. Der 11:2-Sieg für Fanderl fiel nach...
Max und Moritz starten durch
Hof - ""Ach, was muss man oft von bösen Kindern hören oder lesen! Wie zum Beispiel hier von diesen, welche Max und Moritz hießen"""
135;www.ludgerusschule-rheine.de;AchWasMussMan;“Ach, was muss man oft von bösen Kindern h;"“Ach, was muss man oft von bösen Kindern hören oder lesen!
Wie zum Beispiel hier von diesen, welche Max und Moritz hießen."
137;www.redensarten-index.de;AlsManGlaubt;"atz ""Aber hier, wie überhaupt, Kommt es";"ermann Löns in ""Kraut und Lot""
. Nachgewiesen ist von Busch allerdings nur der Satz ""Aber hier, wie überhaupt, Kommt es anders, als man glaubt"", der aus dem Gedicht ""Plisch und Plum""
1. Kapitel, 1882"
138;www.redensarten-index.de;AlsManGlaubt;"atz ""Aber hier, wie überhaupt, Kommt es";"n ""Kraut und Lot""
1911, S. 132
. Nachgewiesen ist von Busch allerdings nur der Satz ""Aber hier, wie überhaupt, Kommt es anders, als man glaubt"", der aus dem Gedicht ""Plisch und Plum""
1. Kapitel, 1882"
142;welt-der-zitate.de;AlsManGlaubt;"ubt
„Aber hier, wie überhaupt, kommt es";"im eigens eingerichtetem Kontakt Formular vorschlagen.
Wilhelm Busch Zitat – glaubt
„Aber hier, wie überhaupt, kommt es anders, als man glaubt.“ Wilhelm Busch (1832 – 1908), deutscher Dichter, Maler "
